Time (years),Data_1,Data_2
554032000.0,917612.5353444392,
558500000.0,916976.4948027187,
562968000.0,916340.8951307065,
567436000.0,915705.7360228149,
571904000.0,915071.0171736681,
576372000.0,914436.7382781021,
580840000.0,913802.8990311642,
585308000.0,913169.4991281133,
589776000.0,912536.5382644193,
594244000.0,911904.0161357634,
598712000.0,911271.9324380376,
603180000.0,910640.2868673448,
607648000.0,910009.0791199984,
612116000.0,909378.3088925224,
616584000.0,908747.9758816512,
621052000.0,908118.0797843293,
625520000.0,907488.6202977112,
629988000.0,906859.5971191616,
634456000.0,906231.0099462548,
638924000.0,905602.8584767745,
643392000.0,904975.1424087143,
647860000.0,904347.8614402768,
652328000.0,903721.0152698741,
656796000.0,903094.603596127,
661264000.0,902468.6261178654,
665732000.0,901843.082534128,
670200000.0,901217.972544162,
674668000.0,900593.295847423,
679136000.0,899969.0521435752,
683604000.0,899345.2411324907,
688072000.0,898721.8625142497,
692540000.0,898098.9159891404,
697008000.0,897476.4012576586,
701476000.0,896854.3180205078,
705944000.0,896232.6659785989,
710412000.0,895611.4448330501,
714880000.0,894990.6542851869,
719348000.0,894370.2940365416,
723816000.0,893750.3637888536,
728284000.0,893130.8632440689,
732752000.0,892511.7921043403,
737220000.0,891893.1500720266,
741688000.0,891274.9368496935,
746156000.0,890657.1521401125,
750624000.0,890039.795646261,
755092000.0,889422.8670713226,
759560000.0,888806.3661186866,
764028000.0,888190.2924919478,
768496000.0,887574.6458949063,
772964000.0,886959.4260315677,
777432000.0,886344.6326061429,
781900000.0,885730.2653230475,
786368000.0,885116.3238869022,
790836000.0,884502.8080025323,
795304000.0,883889.717374968,
799772000.0,883277.0517094436,
804240000.0,882664.8107113979,
808708000.0,882052.9940864738,
813176000.0,881441.6015405183,
817644000.0,880830.6327795823,
822112000.0,880220.0875099202,
826580000.0,879609.9654379905,
831048000.0,879000.2662704547,
835516000.0,878390.9897141779,
839984000.0,877782.1354762283,
844452000.0,877173.7032638771,
848920000.0,876565.6927845984,
853388000.0,875958.1037460692,
857856000.0,875350.935856169,
862324000.0,874744.1888229798,
866792000.0,874137.862354786,
871260000.0,873531.9561600741,
875728000.0,872926.4699475328,
880196000.0,872321.4034260524,
884664000.0,871716.7563047255,
889132000.0,871112.528292846,
893600000.0,870508.7190999094,
898068000.0,869905.3284356125,
902536000.0,869302.3560098533,
907004000.0,868699.8015327309,
911472000.0,868097.6647145455,
915940000.0,867495.9452657979,
920408000.0,866894.6428971897,
924876000.0,866293.757319623,
929344000.0,865693.2882442003,
933812000.0,865093.2353822242,
938280000.0,864493.5984451976,
942748000.0,863894.3771448232,
947216000.0,863295.5711930037,
951684000.0,862697.1803018413,
956152000.0,862099.2041836381,
960620000.0,861501.6425508952,
965088000.0,860904.4951163133,
969556000.0,860307.7615927921,
974024000.0,859711.4416934302,
978492000.0,859115.5351315252,
982960000.0,858520.0416205736,
987428000.0,857924.9608742701,
991896000.0,857330.292606508,
996364000.0,856736.0365313792,
1000832000.0,856142.1923631734,
1005300000.0,855548.7598163784,
1009768000.0,854955.7386056801,
1014236000.0,854363.128445962,
1018704000.0,853770.9290523053,
1023172000.0,853179.1401399886,
1027640000.0,852587.761424488,
1032108000.0,851996.7926214767,
1036576000.0,851406.233446825,
1041044000.0,850816.0836166001,
1045512000.0,850226.3428470662,
1049980000.0,849637.010854684,
1054448000.0,849048.0873561108,
1058916000.0,848459.5720682001,
1063384000.0,847871.4647080019,
1067852000.0,847283.7649927624,
1072320000.0,846696.4726399234,
1076788000.0,846109.587367123,
1081256000.0,845523.1088921947,
1085724000.0,844937.0369331678,
1090192000.0,844351.3712082669,
1094660000.0,843766.111435912,
1099128000.0,843181.2573347181,
1103596000.0,842596.8086234956,
1108064000.0,842012.7650212494,
1112532000.0,841429.1262471795,
1117000000.0,840845.8920206802,
1121468000.0,840263.0620613407,
1125936000.0,839680.6360889442,
1130404000.0,839098.6138234683,
1134872000.0,838516.9949850849,
1139340000.0,837935.7792941594,
1143808000.0,837354.9664712513,
1148276000.0,836774.5562371139,
1152744000.0,836194.5483126938,
1157212000.0,835614.9424191313,
1161680000.0,835035.7382777598,
1166148000.0,834456.9356101057,
1170616000.0,833878.5341378889,
1175084000.0,833300.5335830218,
1179552000.0,832722.9336676097,
1184020000.0,832145.7341139504,
1188488000.0,831568.9346445344,
1192956000.0,830992.5349820442,
1197424000.0,830416.5348493551,
1201892000.0,829840.9339695339,
1206360000.0,829265.7320658397,
1210828000.0,828690.9288617233,
1215296000.0,828116.5240808271,
1219764000.0,827542.5174469854,
1224232000.0,826968.9086842235,
1228700000.0,826395.6975167583,
1233168000.0,825822.8836689978,
1237636000.0,825250.4668655407,
1242104000.0,824678.4468311771,
1246572000.0,824106.8232908875,
1251040000.0,823535.5959698432,
1255508000.0,822964.764593406,
1259976000.0,822394.3288871279,
1264444000.0,821824.2885767514,
1268912000.0,821254.6433882087,
1273380000.0,820685.3930476224,
1277848000.0,820116.5372813047,
1282316000.0,819548.0758157576,
1286784000.0,818980.0083776726,
1291252000.0,818412.3346939307,
1295720000.0,817845.0544916021,
1300188000.0,817278.1674979464,
1304656000.0,816711.673440412,
1309124000.0,816145.5720466364,
1313592000.0,815579.8630444458,
1318060000.0,815014.546161855,
1322528000.0,814449.6211270676,
1326996000.0,813885.0876684752,
1331464000.0,813320.945514658,
1335932000.0,812757.1943943842,
